Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
172952,562819410,G,14.9884,-13.0630,-7.1138,-1.8423,14.8744,-0.1235,-2.6429,-1,G,8.8845,7.2221,3.5928,3.7225,8.0664,0.4465,0.4616,1,22.8006
166784,34067131,G,7.5293,0.1929,7.2639,1.9694,7.2664,0.2678,1.5442,-1,G,14.0086,-1.7517,-8.9861,10.6024,9.1553,0.9889,-1.7633,1,17.3331
165617,104939304,G,7.1036,-0.1894,-4.0496,5.8322,4.0541,1.1602,-1.6175,1,G,17.6647,0.3461,4.0898,17.1809,4.1044,2.1389,1.4864,-1,9.1563
165548,574077362,G,5.9343,2.7076,2.9944,4.3482,4.0371,0.9348,0.8357,-1,G,6.7124,-2.8341,-5.4659,2.6715,6.1570,0.4213,-2.0491,1,10.2244
160957,138834725,G,10.6345,8.3232,6.3686,1.8020,10.4585,0.1710,0.6531,1,G,10.4952,7.4023,6.9142,2.7453,10.1292,0.2678,0.7513,-1,1.4356
160957,92729243,G,26.5262,-0.4914,6.3120,25.7594,6.3311,2.1112,1.6485,-1,G,11.1287,2.4385,-7.0655,8.2444,7.4745,0.9524,-1.2385,1,16.0400
163589,40474464,G,6.9642,0.8299,-6.7810,1.3483,6.8316,0.1961,-1.4490,1,G,7.5181,0.4079,-7.1288,2.3504,7.1404,0.3235,-1.5136,-1,1.0203
166784,125471314,G,13.4260,-1.1290,-8.6753,-10.1838,8.7484,-0.9928,-1.7002,-1,G,7.5858,2.6025,6.7913,2.1536,7.2729,0.2919,1.2048,1,19.2688
166895,144872292,G,34.7923,5.7328,20.4543,27.5545,21.2425,1.0767,1.2975,-1,G,12.1161,2.4165,8.4257,8.3641,8.7654,0.8486,1.2915,1,3.1294
166784,23061715,G,75.6277,2.4170,14.5874,74.1681,14.7863,2.3156,1.4066,-1,G,54.5687,5.1569,-16.5236,51.7505,17.3096,1.8152,-1.2683,1,32.1639
166895,87970214,G,18.2918,1.7108,4.1194,-17.7393,4.4605,-2.0891,1.1772,1,G,8.7218,-2.0327,-3.8816,-7.5406,4.3817,-1.3114,-2.0532,-1,9.5134
166895,157795010,G,24.2378,8.9271,2.4507,22.4000,9.2574,1.6170,0.2679,-1,G,47.7767,15.6478,2.9789,45.0431,15.9288,1.7625,0.1881,1,2.0292
173692,539458844,G,8.5499,3.0870,2.6756,-7.5101,4.0851,-1.3689,0.7141,-1,T,6.3813,2.7914,-0.4049,-5.7232,2.8206,-1.4566,-0.1440,1,2.8481
166701,691271605,G,16.3623,2.8486,-4.0589,-15.5924,4.9588,-1.8632,-0.9589,-1,G,13.6741,-3.8958,6.5039,-11.3794,7.5814,-1.1953,2.1105,1,12.9471
163340,5082460,G,33.8313,15.5891,4.8866,29.6251,16.3371,1.3569,0.3038,1,G,19.1001,7.3621,4.7261,16.9784,8.7485,1.4168,0.5707,-1,3.2689
160957,80503259,G,9.7194,0.3341,6.0994,-7.5591,6.1085,-1.0397,1.5161,-1,G,15.3035,2.0220,-8.4606,12.5903,8.6989,1.1652,-1.3362,1,24.2839
165617,114302182,G,16.3651,-0.5700,-9.7047,13.1643,9.7214,1.1111,-1.6295,-1,G,5.8445,0.5930,4.8423,-3.2167,4.8785,-0.6191,1.4489,1,19.2528
165617,111074737,G,12.3663,0.7327,2.2761,-12.1325,2.3911,-2.3268,1.2594,-1,T,6.6558,-0.6498,1.0406,-6.5409,1.2268,-2.3755,2.1290,1,1.4622
166784,12333045,G,7.1308,-2.1634,-4.1044,-5.4140,4.6396,-0.9946,-2.0559,1,G,5.8339,1.3740,4.5591,-3.3689,4.7617,-0.6588,1.2781,-1,9.4929
163589,44296405,G,16.5297,-1.8586,-2.6227,16.2138,3.2144,2.3210,-2.1873,-1,G,6.1214,-4.4080,4.0046,1.4117,5.9554,0.2349,2.4041,1,12.6977
163589,47726109,G,7.8765,-1.1944,6.0644,4.8811,6.1809,0.7246,1.7653,1,G,8.2948,1.7239,6.4784,-4.8837,6.7039,-0.6758,1.3107,-1,10.1935
167807,1143079174,G,17.7393,7.7750,0.0992,-15.9441,7.7756,-1.4660,0.0128,-1,G,13.6307,-5.1549,-0.8945,-12.5862,5.2320,-1.6116,-2.9698,1,12.7518
165548,248010319,G,10.6880,4.9405,-3.7085,8.7212,6.1775,1.1448,-0.6439,-1,G,4.8918,-2.6681,3.1894,-2.5745,4.1582,-0.5852,2.2674,1,14.1249
165617,108930934,G,4.8461,3.8261,2.0850,-2.1183,4.3573,-0.4688,0.4990,-1,G,5.3614,-4.8797,-1.5611,-1.5764,5.1233,-0.3030,-2.8320,1,9.4423
173692,570637086,G,10.6329,-4.7219,6.7111,-6.7611,8.2058,-0.7513,2.1839,1,G,18.6469,-1.4283,16.5514,8.4680,16.6129,0.4899,1.6569,-1,16.5959
